Technology,mpgImprovement,Cost1980,cumulativeMPG,cMPG2,cumulativeCost
Aerodynamics,1.375,14,1.375,1.890625,14
Lubricants,1.375,15,2.75,7.5625,29
Reduced Rolling Resistance,1.1,25,3.85,14.8225,54
Improved Accessories,0.6,14,4.45,19.8025,68
Front-wheel Drive,3.3,150,7.75,60.0625,218
Weight reduction,1.4,86,9.15,83.7225,304
Turbocharger,2.8,175,11.95,142.8025,479
Electronic Controls,1.1,100,13.05,170.3025,579
Proco,3.3,350,16.35,267.3225,929
4-speed automatic trnasmission,1.7,180,18.05,325.8025,1109
