TECHNOLOGY,BASELINE,EEA,SRI,BSA,FORD,GM,CHRYSLER,TOYOTA,HONDA,NISSAN,MITSUBISHI,4 Cyl,6 Cyl,8 Cyl,4 Cyl,6 Cyl,8 Cyl
Roller cam followers,Flat followers,2.00,1.70,0.30,3.00,1.50,2.40,0.80,1.00,1.40,1.30,16.00,24.00,32.00,65.00,65.00,65.00
"Friction reduction, -10%",Base 1987,2.00,2.00,,2.00,1.00,0.50,0.80,1.00,1.40,,30.00,40.00,50.00,60.00,60.00,60.00
Accessory improvement,Conventional,0.50,0.70,,0.70,0.00,1.40,0.50,,0.20,0.80,12.00,12.00,12.00,200.00,200.00,200.00
Deceleration fuel restriction,None,1.00,1.00,,1.00,,,,,,,,,,5.00,5.00,5.00
"Compression ratio, +.5",9:1 (EEA 4-V only),,2.00,,1.50,1.00,,1.30,,,1.00,,,,1.00,1.00,1.00
Throttle-body fuel injection,Carburetor,3.00,2.60,3.00,3.00,2.50,3.40,0.80,1.00,3.30,,42.00,70.00,70.00,65.00,65.00,65.00
Multipoint fuel injection,Carburetor,5.00,4.60,3.10,6.00,4.00,4.90,2.50,3.50,4.30,,90.00,134.00,150.00,215.00,215.00,215.00
VALVE TRAIN,,,,,,,,,,,,,,,,,
Overhead camshaft,Overhead valve,3.00,2.50,1.20,3.50,1.50,2.00,,0.80,2.00,,110.00,160.00,200.00,400.00,400.00,400.00
4 valves per cylinder,2 valves,5.00,3.00,2.10,3.50,3.00,3.50,4.50,2.00,3.40,,140.00,180.00,225.00,400.00,400.00,400.00
Variable valve timing,Fixed timing,6.00,2.60,,3.00,2.00,1.50,2.00,2.50,2.70,,140.00,200.00,267.00,100.00,100.00,100.00
4-cylinder,6-cylinder,3.00,0.00,1.20,-3.00,0.00,0.00,0.00,0.00,0.00,,0.00,-300.00,-550.00,0.00,-300.00,-550.00
6-cylinder,8-cylinder,3.00,1.00,-0.90,0.00,0.00,0.00,0.00,0.00,0.00,,300.00,0.00,-250.00,300.00,0.00,-250.00
Torque converter lock-up,Open converter,3.00,2.00,2.80,2.00,3.00,3.00,2.50,3.00,3.20,,50.00,50.00,50.00,56.00,56.00,56.00
Electric transmission control,Hydraulic,0.50,0.50,0.50,0.50,0.00,0.50,0.50,0.50,0.60,,24.00,24.00,24.00,122.00,122.00,122.00
4-speed Automatic,3-speed auto,4.50,2.80,2.90,3.00,4.00,2.00,2.30,1.80,3.00,,225.00,225.00,225.00,230.00,230.00,230.00
5-speed Automatic,3-speed auto,7.00,3.30,,5.00,4.50,3.00,3.50,3.30,4.00,,325.00,325.00,325.00,530.00,530.00,530.00
Continuously variable transmission,3-speed auto,8.00,4.80,,5.50,4.50,3.00,,3.80,5.50,,325.00,325.00,325.00,640.00,640.00,640.00
5-speed Manual,3-speed auto,8.00,4.80,0.00,5.50,0.00,0.00,0.00,0.00,0.00,,,,,,,
Front wheel drive,Rear wheel drive          ,10.00,0.50,0.80,1.00,0.00,,,1.10,3.00,,240.00,240.00,240.00,26.00,26.00,26.00
Aerodynamics,Base,2.30,2.40,2.70,2.00,3.10,2.00,2.00,1.50,1.20,1.70,40.00,40.00,40.00,60.00,60.00,60.00
"Weight reduction, -10%",Base,6.60,5.00,9.10,5.50,8.00,5.00,5.50,5.00,6.00,,,,,470.00,470.00,470.00
Electric power steering,Conventional,1.00,1.40,,1.50,0.50,1.00,1.00,1.00,1.00,,45.00,45.00,45.00,61.00,61.00,61.00
"Advanced tires, -10%",Base,1.00,1.00,0.60,1.00,0.50,0.50,,,1.00,1.00,18.00,18.00,18.00,20.00,20.00,20.00
Advanced lubricants,Conventional,0.50,0.30,,0.20,,,0.50,0.50,,,2.00,3.00,3.00,3.00,3.00,3.00
,,,,,,,,,,,,,,,,,
