TechCat,Technologies,Abbreviation,PercentI4Low,PercentI4High,PercentI4Avg,PercentV6Low,PercentV6High,PercentV6Avg,PercentV8Low,PercentV8High,PercentV8Avg,CostI4Low,CostI4High,CostI4Avg,CostV6Low,CostV6High,CostV6Avg,CostV8Low,CostV8High,CostV8Avg
SI,Low Friction Lubricants ,LUB ,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,5,4,3,5,4,3,5,4
SI,Engine Friction Reduction ,EFR ,0.5,2,1.3,0.5,2,1.3,1,2,1.5,32,52,42,48,78,63,64,104,84
SI,"VVT-Coupled Cam Phasing (CCP), SOHC ",CCP ,1.5,3,2.3,1.5,3.5,2.5,2,4,3,35,35,35,70,70,70,70,70,70
SI,"Discrete Variable Valve Lift (DVVL), SOHC ",DVVL ,1.5,3,2.3,1.5,3,2.3,2,3,2.5,130,160,145,180,210,195,280,320,300
SI,"Cylinder Deactivation, SOHC ",DEAC ,,N/A,,4,6,5,5,10,7.5,,N/A,,340,400,370,357,420,388.5
SI,VVT- Intake Cam Phasing (ICP) ,ICP,1,2,1.5,1,2,1.5,1.5,2,1.8,35,35,35,70,70,70,70,70,70
SI,VVT- Dual Cam Phasing (DCP) ,DCP ,1.5,2.5,2,1.5,3,2.3,1.5,3,2.3,35,35,35,70,70,70,70,70,70
SI,"Discrete Variable Valve Lift (DVVL), DOHC ",DVVL ,1.5,3,2.3,1.5,3.5,2.5,2,4,3,130,160,145,180,220,200,260,300,280
SI,Continuously Variable Valve Lift (CVVL),CVVL ,3.5,6,4.8,3.5,6.5,5,4,6.5,5.3,159,205,182,290,310,300,350,390,370
SI,"Cylinder Deactivation, OHV ",DEAC  ,,N/A,,4,6,5,5,10,7.5,,N/A,,220,250,235,255,255,255
SI,"VVT- Coupled Cam Phasing (CCP) , OHV ",CCP ,1.5,3,2.3,1.5,3.5,2.5,2,4,3,35,35,35,35,35,35,35,35,35
SI,"Discrete Variable Valve Lift (DVVL), OHV ",DVVL ,1.5,2.5,2,1.5,3,2.3,2,3,2.5,130,160,145,210,240,225,280,320,300
SI,Stoichiometic Gasoline Direct Injection (GDI),SGDI ,1.5,3,2.3,1.5,3,2.3,1.5,3,2.3,117,195,156,169,256,213,295,351,323
SI,Turbocharging and Downsizing ,TRBDS ,2,5,3.5,4,6,5,4,6,5,370,490,430,-144,205,31,525,790,658
Accessories,Electric Power Steering (EPS) ,EPS  ,1,3,2,1,3,2,1,3,2,70,120,95,70,120,95,70,120,95
Accessories,Improved Accessories ,IACC ,0.5,1.5,1,0.5,1.5,1,0.5,1.5,1,70,90,80,70,90,80,70,90,80
Accessories,Higher Voltage/Improved Alternator ,HVIA ,0,0.5,0.3,0,0.5,0.3,0,0.5,0.3,15,55,35,15,55,35,15,55,35
Design,Mass Reduction - 1 % ,MR1 ,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,37,45,41,48,58,53,68,82,75
Design,Mass Reduction - 2% ,MR2 ,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,77,93,85,100,121,111,142,170,156
Design,Mass Reduction - 5 % ,MR5 ,3,3.5,3.3,3,3.5,3.3,3,3.5,3.3,217,260,239,283,339,311,399,479,439
Design,Mass Reduction - 10% ,MR10 ,6,7,6.5,6,7,6.5,6,7,6.5,520,624,572,679,815,747,958,1150,1054
Design,Mass Reduction - 20% ,MR20 ,11,13,12,11,13,12,11,13,12,1600,1700,1650,1600,1800,1700,1600,1900,1750
Design,Low Rolling Resistance Tires ,ROLL ,1,3,2,1,3,2,1,3,2,30,40,35,30,40,35,30,40,35
Design,Low Drag Brakes ,LDB ,1,1,1,1,1,1,1,1,1,,N/A,,,N/A,,,N/A,
Design,Aero Drag Reduction 10% ,AERO ,1,2,1.5,1,2,1.5,1,2,1.5,40,50,45,40,50,45,40,50,45
