TechCat,Technologies,Abbreviation,Relative_to,I4_Percent_Low_17,I4_Percent_High_17,I4_Percent_Avg_17,V6_Percent_Low_17,V6_Percent_High_17,V6_Percent_Avg_17,V8_Percent_Low_17,V8_Percent_High_17,V8_Percent_Avg_17,I4_Percent_Low_20_25,I4_Percent_High_20_25,I4_Percent_Avg_20_25,V6_Percent_Low_20_25,V6_Percent_High_20_25,V6_Percent_Avg_20_25,V8_Percent_Low_20_25,V8_Percent_High_20_25,V8_Percent_Avg_20_25,I4_Cost_Low_17,I4_Cost_High_17,I4_Cost_Avg_17,V6_Cost_Low_17,V6_Cost_High_17,V6_Cost_Avg_17,V8_Cost_Low_17,V8_Cost_High_17,V8_Cost_Avg_17,I4_Cost_Low_20,I4_Cost_High_20,I4_Cost_Avg_20,V6_Cost_Low_20,V6_Cost_High_20,V6_Cost_Avg_20,V8_Cost_Low_20,V8_Cost_High_20,V8_Cost_Avg_20,I4_Cost_Low_25,I4_Cost_High_25,I4_Cost_Avg_25,V6_Cost_Low_25,V6_Cost_High_25,V6_Cost_Avg_25,V8_Cost_Low_25,V8_Cost_High_25,V8_Cost_Avg_25
SI,Low Friction Lubricants - Level 1,LUB1,baseline,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SI,Engine Friction Reduction - Level 1,EFR1,baseline,2.6,2.6,2.6,2.7,2.7,2.7,2.4,2.4,2.4,2.6,2.6,2.6,2.7,2.7,2.7,2.4,2.4,2.4,48,48,48,71,71,71,95,95,95,48,48,48,71,71,71,95,95,95,48,48,48,71,71,71,95,95,95
SI,Low Friction Lubricants and Engine Friction Reduction - Level 2,LUB2_EFR2,previous ,1.3,1.3,1.3,1.4,1.4,1.4,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.2,1.2,1.2,51,51,51,75,75,75,99,99,99,51,51,51,75,75,75,99,99,99,51,51,51,75,75,75,99,99,99
SI,VVT- Intake Cam Phasing (CCP - Coupled Cam Phasing - OHV) ,ICP,baseline dohc,2.6,2.6,2.6,2.7,2.7,2.7,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.5,2.5,2.5,37,43,40,74,86,80,37,43,40,35,41,38,70,81,75.5,35,41,38,31,36,33.5,63,73,68,31,36,33.5
SI,VVT- Dual Cam Phasing,DCP,previous ,2.5,2.5,2.5,2.7,2.7,2.7,2.4,2.4,2.4,2.5,2.5,2.5,2.7,2.7,2.7,2.4,2.4,2.4,31,35,33,72,82,77,37,43,40,29,33,31,67,76,71.5,35,41,38,27,31,29,61,69,65,31,36,33.5
SI,Discrete Variable Valve Lift,DVVL,previous ,3.6,3.6,3.6,3.9,3.9,3.9,3.4,3.4,3.4,3.6,3.6,3.6,3.9,3.9,3.9,3.4,3.4,3.4,116,133,124.5,168,193,180.5,37,37,37,109,125,117,158,182,170,N/A,N/A,N/A,99,114,106.5,143,164,153.5,N/A,N/A,N/A
SI,Continuously Variable Valve Lift,CVVL,previous ,1,1,1,1,1,1,0.9,0.9,0.9,1,1,1,1,1,1,0.9,0.9,0.9,58,67,62.5,151,174,162.5,N/A,N/A,N/A,55,63,59,142,163,152.5,N/A,N/A,N/A,49,56,52.5,128,147,137.5,N/A,N/A,N/A
SI,Cylinder Deactivation,DEACD,previous ,N/A,N/A,N/A,0.7,0.7,0.7,5.5,5.5,5.5,N/A,N/A,N/A,0.7,0.7,0.7,5.5,5.5,5.5,N/A,N/A,N/A,139,139,139,N/A,N/A,N/A,N/A,N/A,N/A,131,131,131,147,148,147.5,N/A,N/A,N/A,118,118,118,133,133,133
SI,Variable Valve Actuation (CCP + DVVL),VVA,baseline ohv,N/A,N/A,N/A,N/A,N/A,N/A,3.2,3.2,3.2,N/A,N/A,N/A,N/A,N/A,N/A,3.2,3.2,3.2,N/A,N/A,N/A,N/A,N/A,N/A,157,157,157,N/A,N/A,N/A,N/A,N/A,N/A,261,301,281,N/A,N/A,N/A,N/A,N/A,N/A,235,271,253
SI,Stoichiometric Gasoline Direct Injection,SGDI,previous ,1.5,2.5,2,1.5,2.5,2,1.5,1.5,1.5,1.5,2.5,2,1.5,2.5,2,1.5,1.5,1.5,192,192,192,290,290,290,277,320,298.5,181,182,181.5,273,274,273.5,328,328,328,164,165,164.5,246,246,246,296,296,296
