costLow,dMPGLow,dMPG2Low,costHigh,dMPGHigh,dMPG2High
0,0.170600101,0.029104394,7.5,0.385423038,0.148550918
0,0.342662734,0.117417749,12,0.528421992,0.279229801
7.5,0.734722461,0.539817094,76.5,1.247434774,1.556093515
12,0.880183747,0.774723429,132,1.789676691,3.202942659
67.5,1.611577378,2.597181645,190.5,2.300283205,5.291302823
123,2.163156285,4.679245114,255,2.846191808,8.10080781
178.5,2.705692915,7.32077415,319.5,3.357864835,11.27525625
237,3.237863782,10.48376187,375,3.736041499,13.95800608
301.5,3.758347425,14.12517537,583.5,5.111684126,26.1293146
357,4.143036001,17.16474731,670.5,5.622126659,31.60830817
565.5,5.542366139,30.71782242,813,6.249719937,39.05899929
652.5,6.061598101,36.74297154,919.5,6.674918635,44.55453879
736.5,6.510577926,42.38762493,978,6.902741942,47.64784632
775.5,6.696755212,44.84653037,1062,7.228281318,52.24805081
918,7.350773783,54.03387521,1237.5,7.923878275,62.78784691
1024.5,7.793875796,60.74449992,1417.5,8.578892809,73.59740183
1204.5,8.562359502,73.31400025,1708.5,9.33910966,87.21896925
1380,9.292163592,86.34430422,1857,9.694240547,93.97829978
3019.5,14.84875224,220.4854432,3774,14.84965986,220.512398
3310.5,15.81300333,250.0510745,3904.5,15.12989905,228.9138454
3459,16.24676451,263.957357,3943.5,15.20009925,231.0430173
3864,17.30716882,299.5380926,4117.5,15.50100782,240.2812434
3994.5,17.60722663,310.0144297,4378.5,15.82251041,250.3518358
4221,17.94785735,322.1255834,5236.5,16.87046877,284.6127166
