Year,New Vehicles,JDPower Index-Car Taxed,JDPower Index-Truck Taxed,Old Index-Cars,Old Index-Trucks,New Vehicles-Jan2018Baseline,Old Index-Cars Same Jan2018 Baseline,Old Index-Trucks Jan2018 Baseline,UrbanCPI,UrbanCPI2018Base,New Vehicles-Deflated,Old Index_Cars_2018Baseline_deflated,Old Index_Trucks_2018Baseline_deflated,JDPower Index-Car Taxed_Deflated,JDPower Index-Truck Taxed_Deflated
1950,41.23,,,,,28.04,,,24.06,9.58,116.55,,,,
1951,43.43,,,,,29.54,,,25.97,10.34,113.74,,,,
1952,46.98,,,,,31.96,,,26.57,10.58,120.29,,,,
1953,47.25,,,,,32.14,,,26.77,10.66,120.08,,,,
1954,46.51,,,,,31.64,,,26.87,10.7,117.77,,,,
1955,44.88,,,,,30.53,,,26.8,10.67,113.93,,,,
1956,46.14,,,,,31.39,,,27.19,10.83,115.44,,,,
1957,48.54,,,,,33.02,,,28.11,11.2,117.46,,,,
1958,50.11,,,,,34.09,,,28.88,11.5,118.03,,,,
1959,52.24,,,,,35.54,,,29.15,11.61,121.92,,,,
1960,51.57,,,,,35.08,,,29.59,11.78,118.57,,,,
1961,51.56,,,,,35.07,,,29.9,11.91,117.3,,,,
1962,51.36,,,,,34.94,,,30.25,12.05,115.49,,,,
1963,51.05,,,,,34.73,,,30.63,12.2,113.37,,,,
1964,50.91,,,,,34.63,,,31.04,12.36,111.58,,,,
1965,49.79,,,,,33.87,,,31.53,12.56,107.44,,,,
1966,48.89,,,,,33.26,,,32.47,12.93,102.43,,,,
1967,49.35,,,,,33.57,,,33.38,13.29,100.59,,,,
1968,50.69,,,,,34.49,,,34.79,13.86,99.12,,,,
1969,51.52,,,,,35.05,,,36.68,14.61,95.54,,,,
1970,53.13,,,,,36.15,,,38.84,15.47,93.06,,,,
1971,55.28,,,,,37.6,,,40.48,16.12,92.89,,,,
1972,54.79,,,,,37.27,,,41.81,16.65,89.16,,,,
1973,54.81,,,,,37.29,,,44.43,17.69,83.93,,,,
1974,57.98,,,,,39.45,,,49.32,19.64,79.98,,,,
1975,62.98,,,,,42.85,,,53.83,21.44,79.6,,,,
1976,66.97,,,,,45.56,,,56.93,22.67,80.02,,,,
1977,70.53,,,,,47.98,,,60.62,24.14,79.15,,,,
1978,75.9,,,,,51.63,,,65.24,25.98,79.14,,,,
1979,81.93,,,,,55.73,,,72.58,28.91,76.78,,,,
1980,88.47,,,,,60.18,,,82.38,32.81,73.05,,,,
1981,93.87,,,,,63.86,,,90.93,36.21,70.22,,,,
1982,97.48,,,,,66.31,,,96.53,38.44,68.69,,,,
1983,99.88,,,,,67.94,,,99.58,39.66,68.23,,,,
1984,102.63,,,,,69.82,,,103.93,41.39,67.18,,,,
1985,106.05,,,,,72.14,,,107.6,42.85,67.05,,,,
1986,110.6,,,,,75.24,,,109.69,43.68,68.59,,,,
1987,114.38,,,,,77.81,,,113.62,45.25,68.49,,,,
1988,116.52,,,,,79.27,,,118.28,47.1,67.02,,,,
1989,119.16,,,,,81.06,,,123.94,49.36,65.4,,,,
1990,121.4,,,,,82.59,,,130.66,52.03,63.21,,,,
1991,125.98,,,,,85.71,,,136.17,54.23,62.94,,,,
1992,129.21,,,,,87.9,,,140.31,55.88,62.65,,,,
1993,132.74,,,,,90.3,,,144.48,57.54,62.5,,,,
1994,137.58,,,,,93.6,,,148.23,59.03,63.14,,,,
1995,140.95,,,,,95.89,,,152.38,60.69,62.92,,,,
1996,143.67,,,,,97.74,,,156.86,62.47,62.31,,,,
1997,144.25,,,,,98.13,,,160.53,63.93,61.13,,,,
1998,143.44,,,,,97.58,,,163.01,64.92,59.86,,,,
1999,142.86,,,,,97.19,,,166.58,66.34,58.34,,,,
2000,142.75,,,,,97.11,,,172.19,68.57,56.4,,,,
2001,142.11,,,,,96.67,,,177.04,70.51,54.61,,,,
2002,140,,,,,95.24,,,179.87,71.63,52.95,,,,
2003,137.85,,,,,93.78,,,184,73.28,50.97,,,,
2004,137.06,,,,,93.24,,,188.91,75.23,49.36,,,,
2005,137.91,,,,,93.82,,,195.27,77.76,48.05,,,,
2006,137.58,,,,,93.6,,,201.56,80.27,46.44,,,,
2007,136.25,,,136.37,141.19,92.69,95.77,90.08,207.34,82.57,44.7,46.19,43.44,,
2008,134.19,,,135.4,137.12,91.29,95.09,87.48,215.25,85.72,42.41,44.17,40.64,,
2009,135.62,,,136.68,138.84,92.26,95.99,88.58,214.56,85.45,43,44.74,41.28,,
2010,138.01,,,138.09,142.7,93.88,96.98,91.04,218.08,86.85,43.05,44.47,41.75,,
2011,141.88,,,142.23,146.55,96.52,99.88,93.49,224.92,89.57,42.91,44.41,41.57,,
2012,144.23,,,144.18,149.39,98.12,101.25,95.31,229.59,91.43,42.74,44.1,41.51,,
2013,145.78,,,144.92,151.85,99.18,101.78,96.88,232.95,92.77,42.57,43.69,41.59,,
2014,146.27,,,144.47,153.56,99.51,101.46,97.97,236.72,94.27,42.04,42.86,41.39,,
2015,147.14,,,144.4,155.44,100.09,101.4,99.17,237,94.38,42.23,42.79,41.84,,
2016,147.36,,,143.69,156.44,100.25,100.91,99.8,240.01,95.58,41.77,42.04,41.58,,
2017,146.99,,,142.66,156.57,100,100.19,99.89,245.13,97.62,40.79,40.87,40.75,,
2018,146.29,100.61,99.51,141.97,155.78,99.52,99.7,99.39,251.1,100,39.63,39.7,39.58,,
