Year,VMTMilMiles,FuelUseMil,ReboundVMTMilMiles,FuelSavingsMil
1965,856147,64446,856147,0
1966,868894,64413,868894,0
1967,904786,67079,904786,0
1968,953164,71608,953164,0
1969,996716,76258,996716,0
1970,1042965,80193,1042965,0
1971,1107807,84903,1107807,0
1972,1182318,91174,1182318,0
1973,1228008,95165,1228008,0
1974,1195453,90995,1195453,0
1975,1240279,93333,1240279,0
1976,1310052,99245,1312630,-467
1977,1366183,101570,1361497,886
1978,1433080,104958,1422512,2089
1979,1414182,101206,1395653,3820
1980,1412745,93982,1369530,9078
1981,1440365,93023,1388149,11438
1982,1477764,92016,1414497,14427
1983,1531457,94442,1465683,15853
1984,1593833,96443,1522498,18128
1985,1646845,99063,1574883,19450
1986,1703480,102436,1632778,20433
1987,1782358,104096,1703510,24096
1988,1882502,106199,1793543,28769
1989,1948067,107391,1854880,32192
1990,1992394,105370,1891722,36985
1991,2016757,102718,1912107,41172
1992,2087989,106556,1988269,43065
1993,2130365,110097,2039876,43408
1994,2180963,112191,2095563,45504
1995,2228323,113677,2147947,47960
1996,2286394,116575,2212836,49945
1997,2353295,119280,2285922,52740
1998,2417852,122158,2357918,55280
1999,2470122,126142,2420352,55994
2000,2523346,126004,2480254,60640
2001,2571539,127081,2526519,63045
2002,2624508,130691,2579387,63412
2003,2656174,136213,2613732,60476
2004,2727054,138819,2682648,63055
2005,2749472,136288,2701682,67019
2006,2773025,135694,2723350,69243
2007,2691034,126393,2638282,72143
2008,2630213,120515,2575973,73332
2009,2633248,121368,2579585,72751
2010,2648457,123039,2595347,72265
2011,2650457,123693,2597802,71796
2012,2664060,123715,2610593,72737
2013,2677730,123770,2623473,73652
2014,2710555,126644,2656835,73288
2015,2779693,126469,2721564,78334
2016,2849718,129307,2789810,80631
2017,2877379,129179,2815630,82703
2018,2888314,127453,2824284,85079
