ModelYear,EPA_Test,EPA_Adjusted,FHWA_On_Road
1975,14.32245735,13.19153878,13.28870224
1976,14.53217024,13.21518749,13.20013207
1977,14.86156532,13.30560201,13.45071114
1978,15.27447192,13.48109127,13.65390162
1979,15.7032377,13.72913255,13.97337062
1980,16.18075115,14.06057777,15.03211822
1981,16.77058871,14.50254834,15.48395902
1982,17.42683502,15.00341229,16.05983827
1983,18.09199171,15.50849336,16.21581161
1984,18.82735144,16.07915713,16.52616916
1985,19.5938614,16.67343845,16.62422044
1986,20.43112367,17.32817027,16.62965985
1987,21.18730111,17.93323225,17.12222918
1988,21.90459521,18.49584094,17.72619597
1989,22.50334462,18.97865584,18.13998925
1990,22.92570551,19.33473676,18.90846439
1991,23.45895713,19.73202446,19.63391147
1992,23.29984733,19.47747251,19.59516873
1993,23.63920675,19.77040634,19.34993731
1994,23.54743327,19.88413347,19.43972359
1995,23.74268344,20.04100086,19.60224307
1996,23.898654,20.16974385,19.61306455
1997,24.04376176,20.28419321,19.72915492
1998,24.15110556,20.37028379,19.792902
1999,24.18972316,20.39951395,19.58207495
2000,24.23678251,20.43300577,20.02591775
2001,24.25705199,20.44678417,20.23550083
2002,24.26100588,20.4484281,20.08172445
2003,24.26984331,20.45412062,19.50019167
2004,24.58693194,20.69255006,19.64466846
2005,24.59669991,20.69848514,20.17405223
2006,24.64225656,20.73673672,20.43583869
2007,24.72647362,20.8092914,21.29098415
2008,24.88124892,20.94141926,21.82485795
2009,24.99413905,21.03808724,21.69637996
2010,25.15695259,21.17527664,21.52525955
2011,25.18033073,21.19495464,21.42765522
2012,25.44284724,21.41592178,21.53392524
2013,25.79717031,21.71416494,21.63477814
2014,26.07528619,21.94826247,21.40905826
2015,26.39986502,22.22146912,21.97931409
2016,26.54755916,22.34578721,22.03846332
2017,26.67516361,22.45319527,
2018,27.22934587,22.91966523,
